Genes	Description	Preferred_name
Mhon_028746	SMAD binding	-
Mhon_028748	Ran GTPase binding	-
Mhon_028749	dihydroceramide kinase activity	-
Mhon_028750	Ceramide kinase	-
Mhon_028750	dihydroceramide kinase activity	-
Mhon_028752	Ceramide kinase	-
Mhon_028754	isomerase	-
Mhon_028761	cytoskeleton-dependent cytokinesis	-
Mhon_028762	Predicted coiled-coil domain-containing protein	-
Mhon_028763	hematopoietic stem cell homeostasis	lig
Mhon_028764	TM2 domain	amx
Mhon_028765	TM2 domain	amx
Mhon_028766	hematopoietic stem cell homeostasis	lig
Mhon_028767	Predicted coiled-coil domain-containing protein	-
Mhon_028768	Sarcoplasmic reticulum histidine-rich calcium-binding protein	-
Mhon_028769	cytoskeleton-dependent cytokinesis	-
Mhon_028770	mismatched DNA binding	MLH1
Mhon_028771	mismatched DNA binding	MLH1
Mhon_028775	neurotransmitter:sodium symporter activity	-
Mhon_028776	neurotransmitter:sodium symporter activity	-
Mhon_028777	neurotransmitter:sodium symporter activity	-
Mhon_028778	neurotransmitter:sodium symporter activity	-
Mhon_028782	cyclic nucleotide-gated ion channel activity	-
Mhon_028784	cyclic nucleotide-gated ion channel activity	-
Mhon_028791	Golgi transport vesicle coating	eca
Mhon_028795	ATP-dependent RNA helicase activity	-
Mhon_028797	DDE superfamily endonuclease	-
Mhon_028803	Dpy-30 motif	-
Mhon_028804	SKI family transcriptional corepressor 2	-
Mhon_028806	Dpy-30 motif	-
Mhon_028808	Dpy-30 motif	-
Mhon_028809	Dpy-30 motif	-
Mhon_028810	SKI family transcriptional corepressor 2	-
Mhon_028815	insulin receptor signaling pathway via phosphatidylinositol 3-kinase	-
Mhon_028818	Kielin chordin-like protein	-
Mhon_028819	Protein kinase C conserved region 2 (CalB)	-
Mhon_028820	Kielin chordin-like protein	-
Mhon_028821	Protein kinase C conserved region 2 (CalB)	-
Mhon_028830	divergent subfamily of APPLE domains	-
Mhon_028832	negative regulation of histone H3-K9 acetylation	-
Mhon_028834	histone deacetylase	-
Mhon_028840	Mannosidase, alpha, class 2A, member 2	-
Mhon_028841	Mannosidase, alpha, class 2A, member 2	-
Mhon_028846	Catenin (cadherin-associated protein), delta	p120ctn
Mhon_028852	Catenin (cadherin-associated protein), delta	p120ctn
Mhon_028854	member RAS oncogene family	-
Mhon_028855	Nucleoredoxin	-
Mhon_028856	member RAS oncogene family	-
Mhon_028857	Nucleoredoxin	-
Mhon_028858	member RAS oncogene family	-
Mhon_028859	ribosomal large subunit assembly	RpL23A
Mhon_028860	Nucleoredoxin	-
Mhon_028861	Nucleoredoxin	-
Mhon_028862	Nucleoredoxin	-
Mhon_028863	protein-disulfide reductase activity	-
Mhon_028866	mediator of RNA polymerase II transcription subunit	MED11
Mhon_028867	acyl-CoA synthetase long-chain family member 4	acs-17
Mhon_028868	sulfotransferase activity	-
Mhon_028869	hyaluronan, chondroitin sulfate, and heparan sulfate	sgl
Mhon_028870	hyaluronan, chondroitin sulfate, and heparan sulfate	sgl
Mhon_028871	protein phosphatase 1 regulatory	nab-1
Mhon_028872	DSHCT	tst
Mhon_028873	Nuclear receptor subfamily 5, group A, member	ftz-f1
Mhon_028874	DSHCT	tst
Mhon_028875	Nuclear receptor subfamily 5, group A, member	ftz-f1
Mhon_028876	Protein phosphatase 1 regulatory subunit 9A	nab-1
Mhon_028877	Protein phosphatase 1 regulatory subunit 9A	nab-1
Mhon_028878	intermembrane sphingolipid transfer activity	-
Mhon_028880	intermembrane sphingolipid transfer activity	-
Mhon_028882	Si ch1073-385f13.3	-
Mhon_028886	microtubule plus-end binding	msps
Mhon_028888	microtubule plus-end binding	msps
Mhon_028898	inorganic phosphate transmembrane transporter activity	-
Mhon_028900	retrograde transport, endosome to plasma membrane	-
Mhon_028904	Glycosyltransferase-like domain containing 1	-
Mhon_028906	Regulatory factor X	-
Mhon_028907	RAS and EF-hand	tag-312
Mhon_028908	Animal haem peroxidase	DBLOX
Mhon_028909	HCLS1 binding protein 3	-
Mhon_028915	peptidase inhibitor activity	-
Mhon_028918	peptidase inhibitor activity	-
Mhon_028921	Beta-lactamase	-
Mhon_028928	putrescine transmembrane transporter activity	-
Mhon_028930	putrescine transmembrane transporter activity	-
Mhon_028931	Glycine-rich domain-containing protein-like	-
Mhon_028932	COX assembly mitochondrial protein	-
Mhon_028933	Pyrroline-5-carboxylate reductase	-
Mhon_028934	Pyrroline-5-carboxylate reductase	-
Mhon_028941	PMP-22/EMP/MP20/Claudin tight junction	pck
Mhon_028946	Nuclear receptor coactivator 7	-
Mhon_028946	Oxidation resistance	-
Mhon_028954	Carboxylesterase family	-
Mhon_028956	Solute carrier family 13	Indy-2
Mhon_028957	reductase B2	-
Mhon_028958	Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis	Pfk
Mhon_028959	negative regulation of protein targeting to mitochondrion	-
Mhon_028961	Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis	Pfk
Mhon_028962	structural constituent of ribosome	-
Mhon_028965	ribosomal large subunit binding	Nmd3
Mhon_028968	endoribonuclease activity, cleaving siRNA-paired mRNA	AGO1
Mhon_028969	antigen processing and presentation of exogenous peptide antigen via MHC class I	-
Mhon_028971	regulation of odontoblast differentiation	cnc
Mhon_028971	Nuclear factor erythroid	cnc
Mhon_028980	erythroblast transformation specific domain	-
Mhon_028981	erythroblast transformation specific domain	-
Mhon_028983	C1q domain	-
Mhon_028986	Neurotransmitter-gated ion-channel transmembrane region	-
Mhon_028987	peptide-O-fucosyltransferase activity	O-fut2
Mhon_028988	peptide-O-fucosyltransferase activity	O-fut2
Mhon_028990	regulation of cell shape	-
Mhon_028991	Sparc osteonectin, cwcv and kazal-like domains proteoglycan (testican) 3	-
Mhon_028993	Angiotensin-converting enzyme	-
Mhon_028995	1-alkyl-2-acetylglycerophosphocholine esterase activity	-
Mhon_028996	Cupin-like domain	-
Mhon_028998	mannose binding	-
Mhon_028999	hyaluronic acid binding	CTLMA6
Mhon_029002	carbohydrate binding	-
Mhon_029003	regulation of ATP-dependent microtubule motor activity, plus-end-directed	Dic
Mhon_029004	F-box LRR-repeat protein 20	-
Mhon_029012	glycogen (starch) synthase activity	gsy-1
Mhon_029019	-	-
Mhon_029021	-	-
Mhon_029022	pyruvate dehydrogenase (NAD+) activity	-
Mhon_029023	Low molecular weight phosphotyrosine protein	-
Mhon_029024	Ubiquinol-cytochrome c reductase complex	-
Mhon_029026	proton channel activity	-
Mhon_029028	7 transmembrane receptor (rhodopsin family)	-
Mhon_029029	Double-stranded DNA binding. It is involved in the biological process described with regulation of transcription, DNA-templated	-
Mhon_029030	tRNA splicing, via endonucleolytic cleavage and ligation	-
Mhon_029033	TIR domain binding	Myd88
Mhon_029034	aggresome assembly	vlc
Mhon_029038	It is involved in the biological process described with transmembrane transport	-
Mhon_029039	neurotransmitter:sodium symporter activity	-
Mhon_029040	myeloid differentiation primary response protein MyD88	Myd88
Mhon_029041	TIR domain binding	Myd88
Mhon_029051	Dermatopontin	-
Mhon_029055	locomotory exploration behavior	-
Mhon_029064	N-acetylglucosamine-1-phosphotransferase subunits alpha beta	-
Mhon_029065	negative regulation of superoxide anion generation	-
Mhon_029066	mitotic chromosome condensation	-
Mhon_029067	GTPase activator activity	-
Mhon_029069	CT11-RanBPM	-
Mhon_029071	FAM167	-
Mhon_029072	Topoisomerase (DNA) II binding protein 1	mus-101
Mhon_029075	Complement C1q-like protein	-
Mhon_029077	galactosidase, beta	-
Mhon_029079	Beta-galactosidase-1-like protein 2	-
Mhon_029081	cell cycle switching, mitotic to meiotic cell cycle	-
Mhon_029083	leptin receptor binding	-
Mhon_029084	ABRA C-terminal like	-
Mhon_029085	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein	cnt-2
Mhon_029086	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein	cnt-2
Mhon_029087	-	-
Mhon_029088	NAB conserved region 2 (NCD2)	-
Mhon_029089	Solute carrier family 22, member 18	-
Mhon_029090	BLOC-2 complex binding	glo-1
Mhon_029091	dehydrogenase 14	-
Mhon_029093	BLOC-2 complex binding	glo-1
Mhon_029100	Heat shock 70 kDa protein cognate	Hsc70-4
Mhon_029102	Tetratricopeptide repeats	-
Mhon_029103	Tetratricopeptide repeats	-
Mhon_029105	Catalyzes the cleavage of L-kynurenine (L-Kyn) and L-3- hydroxykynurenine (L-3OHKyn) into anthranilic acid (AA) and 3- hydroxyanthranilic acid (3-OHAA), respectively	KYNU
Mhon_029106	Pyridoxal-dependent decarboxylase conserved domain	-
Mhon_029107	In Between Ring fingers	-
Mhon_029114	Von Willebrand factor A	-
Mhon_029120	Hemicentin 2	-
Mhon_029128	regulation of DNA damage checkpoint	-
Mhon_029150	Nascent polypeptide-associated complex	Nacalpha
Mhon_029151	annexin A6	-
Mhon_029154	regulation of MAPK export from nucleus	-
Mhon_029155	nucleic acid-templated transcription	-
Mhon_029156	sucrose:proton symporter activity	-
Mhon_029160	Kelch domain-containing protein 10	-
Mhon_029162	DNA replication initiation	Mcm3
Mhon_029163	tRNA-type intron splice site recognition and cleavage	-
Mhon_029171	SOR/SNZ family	-
Mhon_029172	SNO glutamine amidotransferase family	-
Mhon_029176	microtubule motor activity	kinesin-2A
Mhon_029183	member RAS oncogene family	Rab11
Mhon_029188	sequestering of TGFbeta in extracellular matrix	-
Mhon_029192	ubiquitin-protein	hyd
Mhon_029196	Solute carrier organic anion transporter family, member	-
Mhon_029197	Zinc finger MYND-type containing 8	-
Mhon_029199	protein transport	-
Mhon_029200	negative regulation of ATPase activity	-
Mhon_029201	Protein of unknown function, DUF547	-
Mhon_029202	acetolactate synthase)-like	-
Mhon_029203	glucose transmembrane transporter activity	-
Mhon_029204	Hsp20/alpha crystallin family	hsp-25
Mhon_029212	Complement component C1q domain.	-
Mhon_029213	positive regulation of adiponectin secretion	-
Mhon_029213	Complement C1q-like protein	-
Mhon_029214	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	-
Mhon_029216	7 transmembrane receptor (rhodopsin family)	-
Mhon_029220	Belongs to the short-chain dehydrogenases reductases (SDR) family	-
Mhon_029221	Bystin	bys
Mhon_029223	phosphopantothenate--cysteine ligase activity	Ppcs
Mhon_029224	CWF19-like 1, cell cycle control (S. pombe)	F17A9.2
Mhon_029225	motile cilium assembly	-
Mhon_029226	Rab guanyl-nucleotide exchange factor activity	-
Mhon_029227	PDZ domain binding	-
Mhon_029229	EF-hand domain pair	-
Mhon_029230	RAS and EF-hand	tag-312
Mhon_029231	Regulatory factor X	-
Mhon_029235	Meprin A subunit beta-like	hch-1
Mhon_029236	endoplasmic reticulum-plasma membrane tethering	Esyt2
Mhon_029237	endoplasmic reticulum-plasma membrane tethering	Esyt2
Mhon_029239	Carboxylesterase family	-
Mhon_029240	Extended	Esyt2
Mhon_029241	metalloendopeptidase activity	hch-1
Mhon_029242	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway	-
Mhon_029243	metalloendopeptidase activity	hch-1
Mhon_029249	ShK toxin domain	-
Mhon_029250	Astacin (Peptidase family M12A)	-
Mhon_029251	metalloendopeptidase activity	-
Mhon_029252	scavenger receptor activity	Sr-CI
Mhon_029252	Meprin A	-
Mhon_029253	MAM domain containing	-
Mhon_029255	Astacin (Peptidase family M12A)	-
Mhon_029262	lithium:proton antiporter activity	-
Mhon_029263	activity. It is involved in the biological process described with signal transduction	-
Mhon_029264	phosphatidate phosphatase activity	-
Mhon_029267	Carboxylesterase family	-
Mhon_029276	colon epithelial cell migration	-
Mhon_029278	von Willebrand factor (vWF) type A domain	-
Mhon_029279	von Willebrand factor (vWF) type A domain	-
Mhon_029281	establishment or maintenance of actin cytoskeleton polarity	RhoGAPp190
Mhon_029282	GTP binding. It is involved in the biological process described with small GTPase mediated signal transduction	RhoGAPp190
Mhon_029283	It is involved in the biological process described with ubiquitin-dependent protein catabolic process	Skp1
Mhon_029284	GTP binding	-
Mhon_029285	thiamine pyrophosphate binding	-
Mhon_029286	spleen trabecula formation	-
Mhon_029287	Methyltransferase like 2A	metl
Mhon_029290	aspartyl-tRNA aminoacylation	Aats-asp
Mhon_029292	biological adhesion	-
Mhon_029293	Pleckstrin homology domain.	-
Mhon_029296	cellular response to reactive oxygen species	-
Mhon_029297	Leucine-rich repeat-containing protein	let-413
Mhon_029298	nuclear export signal receptor activity	-
Mhon_029299	BTB POZ domain-containing protein	-
Mhon_029300	nuclear export signal receptor activity	-
Mhon_029301	BTB POZ domain-containing protein	-
Mhon_029302	Survival motor neuron domain containing 1	-
Mhon_029306	aldehyde dehydrogenase 8 family, member A1	-
Mhon_029311	aldehyde dehydrogenase 8 family, member A1	-
Mhon_029319	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity	gly-18
Mhon_029323	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity	gly-18
Mhon_029349	Phosphatidylinositol 4-kinase	fwd
Mhon_029351	protein depalmitoylation	-
Mhon_029352	Belongs to the PI3 PI4-kinase family	fwd
Mhon_029353	Diacylglycerol kinase theta	-
Mhon_029355	cytidine to uridine editing	-
Mhon_029356	Peroxisomal leader peptide-processing protease	-
Mhon_029362	one cut homeobox 1	ceh-48
Mhon_029363	proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific	ceh-48
Mhon_029364	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4	wuho
Mhon_029365	Tetratricopeptide repeat and ankyrin repeat containing 1	-
Mhon_029371	Tetratricopeptide repeat and ankyrin repeat containing 1	-
Mhon_029373	Tetratricopeptide repeat and ankyrin repeat containing 1	-
Mhon_029374	Tetratricopeptide repeat and ankyrin repeat containing 1	-
Mhon_029377	ankyrin repeats	-
Mhon_029381	phosphatidylcholine transporter activity	-
Mhon_029390	It is involved in the biological process described with transmembrane transport	-
Mhon_029395	Plasmin dissolves the fibrin of blood clots and acts as a proteolytic factor in a variety of other processes including embryonic development, tissue remodeling, tumor invasion, and inflammation. In ovulation, weakens the walls of the Graafian follicle. It activates the urokinase-type plasminogen activator, collagenases and several complement zymogens, such as C1 and C5. Cleavage of fibronectin and laminin leads to cell detachment and apoptosis. Also cleaves fibrin, thrombospondin and von Willebrand factor. Its role in tissue remodeling and tumor invasion may be modulated by CSPG4. Binds to cells	-
Mhon_029399	nicotinate nucleotide biosynthetic process	-
Mhon_029401	angiogenesis	-
Mhon_029403	histone methyltransferase activity (H3-K4 specific)	-
Mhon_029409	Chromosome 6 open reading frame 106	-
Mhon_029410	cat eye syndrome chromosome region, candidate	-
Mhon_029414	peptidyl-tRNA hydrolase	-
Mhon_029418	Enoyl-CoA hydratase/isomerase	-
Mhon_029420	Frag1/DRAM/Sfk1 family	-
Mhon_029421	DNA damage-regulated autophagy modulator protein	-
Mhon_029422	DNA damage-regulated autophagy modulator protein	-
Mhon_029424	phosphatidylserine biosynthetic process	-
Mhon_029425	Belongs to the ubiquitin-conjugating enzyme family	-
Mhon_029426	Hsp20/alpha crystallin family	hsp-25
Mhon_029428	retinol dehydrogenase 10	-
Mhon_029429	catalase activity	-
Mhon_029438	negative regulation of fibroblast proliferation	-
Mhon_029439	Complement component 1, q subcomponent-like 2	-
Mhon_029441	metal ion binding	Mob3
Mhon_029442	serine-type exopeptidase activity	-
Mhon_029442	Prolyl endopeptidase	-
Mhon_029443	serine-type exopeptidase activity	-
Mhon_029444	metal ion binding	Mob3
Mhon_029448	scavenger receptor activity	-
Mhon_029454	translation release factor activity	-
Mhon_029455	mRNA 3'-end processing by stem-loop binding and cleavage	CPSF3
Mhon_029456	DNA-binding transcription factor activity, RNA polymerase II-specific	-
Mhon_029457	KIAA1430 homologue	-
Mhon_029460	extracellular ligand-gated ion channel activity	-
Mhon_029462	Protein tyrosine kinase	-
Mhon_029463	-	-
Mhon_029465	Zinc binding alcohol dehydrogenase domain containing 2	-
Mhon_029467	Essential component of the vacuolar proton pump (V- ATPase), a multimeric enzyme that catalyzes the translocation of protons across the membranes. Required for assembly and activity of the V-ATPase	unc-32
Mhon_029468	Transforming growth  factor-beta (TGF-beta) family	gbb
Mhon_029469	negative regulation of protein localization to centrosome	ubxn-2
Mhon_029470	procollagen-proline 3-dioxygenase activity	-
Mhon_029479	Dienelactone hydrolase family	-
Mhon_029480	Sodium:neurotransmitter symporter family	-
Mhon_029481	Chromosome 12 open reading frame 66	-
Mhon_029483	Mitochondrial ribosomal protein MRP-S35	-
Mhon_029484	HD domain-containing protein 2	-
Mhon_029487	Williams-Beuren syndrome chromosomal region 16	-
Mhon_029488	Zinc finger protein	hb
Mhon_029493	UBX domain protein 4	ubxn-4
Mhon_029495	negative regulation of fibroblast proliferation	-
Mhon_029497	Toll-like receptor	-
Mhon_029498	Toll-like receptor	-
Mhon_029502	pyruvate dehydrogenase (acetyl-transferring) kinase activity	pdhk-2
Mhon_029505	-	-
Mhon_029509	translation initiation factor activity	cif-1
Mhon_029510	cysteine-tRNA ligase activity	-
Mhon_029512	cysteine--tRNA ligase, cytoplasmic	-
Mhon_029521	histone acetylation	-
Mhon_029527	TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 100kDa	Taf5
Mhon_029528	Belongs to the sulfatase family	-
Mhon_029536	TerD domain	-
Mhon_029537	von Willebrand factor (vWF) type A domain	-
Mhon_029539	TerD domain	-
Mhon_029540	von Willebrand factor (vWF) type A domain	-
Mhon_029545	von Willebrand factor (vWF) type A domain	-
Mhon_029550	DSS1_SEM1	-
Mhon_029551	protein disulfide isomerase activity	-
Mhon_029554	RNA recognition motif	-
Mhon_029555	CAMSAP CH domain	Fim
Mhon_029556	actin polymerization-dependent cell motility	-
Mhon_029558	Bet1 golgi vesicular membrane trafficking protein	-
Mhon_029559	ATPase activity, coupled to transmembrane movement of substances	-
Mhon_029561	ATPase activity, coupled to transmembrane movement of substances	-
Mhon_029567	Lytic polysaccharide mono-oxygenase, cellulose-degrading	-
Mhon_029577	Methyltransferase small domain	-
Mhon_029579	Cytochrome P450, family	-
Mhon_029581	serine-type endopeptidase activity	-
Mhon_029584	DSBA-like thioredoxin domain	-
Mhon_029585	guanine catabolic process	-
Mhon_029586	guanine deaminase activity. It is involved in the biological process described with guanine catabolic process	-
Mhon_029590	FAM167	-
Mhon_029591	Family with sequence similarity 167 member A	-
Mhon_029596	Domain present in PSD-95, Dlg, and ZO-1/2.	-
Mhon_029598	Cell adhesion molecule	Cont
Mhon_029600	intein-mediated protein splicing	Hh
Mhon_029603	Protein of unknown function (DUF917)	-
Mhon_029606	Domain of unknown function (DUF4555)	-
Mhon_029607	3'-tRNA processing endoribonuclease activity	-
Mhon_029609	structural constituent of ribosome	mRpL32
Mhon_029610	proteasome subunit alpha	-
Mhon_029612	Rab subfamily of small GTPases	-
Mhon_029613	ATP binding	Arp1
Mhon_029620	ATP binding	Arp1
Mhon_029663	acyl-CoA oxidase activity	-
Mhon_029664	E3 ubiquitin-protein ligase RNF217	-
Mhon_029665	sequence-specific DNA binding. It is involved in the biological process described with regulation of transcription, DNA-templated	-
Mhon_029666	SAM pointed domain containing ETS transcription factor	-
Mhon_029667	ATPase activity, coupled to transmembrane movement of substances	haf-6
Mhon_029668	Opioid growth factor receptor	-
Mhon_029669	milk fat globule-EGF factor 8 protein	-
Mhon_029671	-	-
Mhon_029672	neurotransmitter:sodium symporter activity	-
Mhon_029676	-	-
Mhon_029677	neurotransmitter:sodium symporter activity	-
Mhon_029678	neurotransmitter:sodium symporter activity	-
Mhon_029684	Calcium-binding protein	-
Mhon_029686	demethylase 1B	-
Mhon_029709	-	-
Mhon_029724	homeobox	-
Mhon_029727	release of matrix enzymes from mitochondria	-
Mhon_029728	Cysteine-rich secretory protein	-
Mhon_029731	SAM / Pointed domain	-
Mhon_029732	G-quadruplex DNA unwinding	-
Mhon_029751	maturation of LSU-rRNA	-
Mhon_029760	UDP-N-acteylglucosamine pyrophosphorylase 1	mmy
Mhon_029770	DDE superfamily endonuclease	-
Mhon_029787	microtubule plus-end binding	msps
Mhon_029792	Belongs to the MIP aquaporin (TC 1.A.8) family	-
Mhon_029794	Gem (nuclear organelle) associated protein 7	-
Mhon_029795	tetratricopeptide repeat	-
Mhon_029797	It is involved in the biological process described with phosphatidylserine biosynthetic process	-
Mhon_029800	intracellular sodium activated potassium channel activity	slo-2
Mhon_029801	Galactosyltransferase	-
Mhon_029803	It is involved in the biological process described with transmembrane transport	-
Mhon_029805	Orofacial cleft 1 candidate	-
Mhon_029815	major facilitator superfamily	-
Mhon_029816	tRNA (guanine-N7-)-methyltransferase activity	-
Mhon_029817	dihydropyrimidinase-related protein	-
Mhon_029819	double-stranded RNA adenosine deaminase activity	-
Mhon_029822	vesicle tethering	-
Mhon_029826	G-protein coupled receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway	gar-1
Mhon_029841	exon-exon junction complex binding	-
Mhon_029842	Calcium ion binding	-
Mhon_029843	Low molecular weight phosphotyrosine protein	-
Mhon_029845	-	-
Mhon_029849	secondary active sulfate transmembrane transporter activity	sulp-6
Mhon_029850	secondary active sulfate transmembrane transporter activity	sulp-6
Mhon_029851	photoreceptor cell maintenance	-
Mhon_029852	HMG box domain binding	-
Mhon_029853	co-translational protein modification	-
Mhon_029854	mediator of RNA polymerase II transcription subunit	MED30
Mhon_029855	glycerol-3-phosphate catabolic process	-
Mhon_029856	Immunoglobulin (CD79A) binding protein 1	-
Mhon_029857	-	-
Mhon_029858	GATA zinc finger	-
Mhon_029859	glycine biosynthetic process from serine	-
Mhon_029861	activity. It is involved in the biological process described with carbohydrate metabolic process	Mal-B1
Mhon_029864	Fatty acid hydroxylase superfamily	-
Mhon_029868	Si ch211-161h7.5	-
Mhon_029870	cAMP responsive element binding protein 5	-
Mhon_029873	ubiquitin-protein transferase activity	-
Mhon_029876	somatostatin receptor binding	-
Mhon_029878	Zinc ion binding	-
Mhon_029882	transmembrane and ubiquitin-like	-
Mhon_029883	Subunit of the peripheral V1 complex of vacuolar ATPase essential for assembly or catalytic function. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells	vha-9
Mhon_029892	sequence-specific DNA binding. It is involved in the biological process described with regulation of transcription, DNA-templated	eve
Mhon_029894	Homeobox even-skipped homolog protein 1	eve
Mhon_029895	snRNA binding. It is involved in the biological process described with negative regulation of transcription from RNA polymerase II promoter	-
Mhon_029896	programmed cell death	ALiX
Mhon_029897	kinase 6	Cdk4
Mhon_029901	Glutaminase activity. It is involved in the biological process described with glutamine metabolic process	-
Mhon_029903	proteasome (prosome, macropain) inhibitor subunit 1	-
Mhon_029904	tRNA methyltransferase 11 homolog (S. cerevisiae)	-
Mhon_029905	protein folding in endoplasmic reticulum	-
Mhon_029906	Dynein axonemal light intermediate chain 1	-
Mhon_029907	Calcium ion binding	scf
Mhon_029908	negative regulation of hemostasis	-
Mhon_029911	heme binding. It is involved in the biological process described with intracellular signal transduction	-
Mhon_029918	non-haem dioxygenase in morphine synthesis N-terminal	-
Mhon_029919	endoplasmic reticulum membrane fusion	-
Mhon_029920	Protein phosphatase inhibitor activity. It is involved in the biological process described with regulation of signal transduction	-
Mhon_029922	HSPA (heat shock 70kDa) binding protein, cytoplasmic cochaperone 1	-
Mhon_029924	DNA replication-independent nucleosome assembly	-
Mhon_029928	zinc finger	-
Mhon_029929	ribosome binding	-
Mhon_029930	spliceosomal complex assembly	Txnl4a
Mhon_029931	TIR domain binding	Myd88
Mhon_029932	Myeloid differentiation primary response protein	Myd88
Mhon_029936	transmembrane transport	-
Mhon_029938	Disrupted in renal carcinoma protein	-
Mhon_029939	optic nerve structural organization	shk-1
Mhon_029954	Tetratricopeptide repeats	-
Mhon_029959	Sclerostin (SOST)	-
Mhon_029962	Belongs to the MCM family	-
Mhon_029963	Belongs to the heat shock protein 70 family	Hsc70-3
Mhon_029967	estrogen-regulated, growth inhibitor	-
Mhon_029967	negative regulation of cell growth	-
Mhon_029969	sulfotransferase activity	-
Mhon_029971	Notch receptor processing	aph-1
Mhon_029972	zinc ion binding	-
Mhon_029974	regulation of DNA-templated transcription, elongation	Spt5
Mhon_029975	protein serine/threonine kinase activity	wee-1.3
Mhon_029976	protein serine/threonine kinase activity	wee-1.3
Mhon_029978	protein maturation	-
Mhon_029980	chromosome condensation	-
Mhon_029984	interacting protein, binding protein	-
Mhon_029987	cysteine-type endopeptidase activity	-
Mhon_029987	Belongs to the peptidase C1 family	tag-196
Mhon_029991	Forkhead box	-
Mhon_029993	Vacuolar protein sorting-associated protein 51 homolog	-
Mhon_029994	aminophospholipid transmembrane transporter activity	-
Mhon_029995	Belongs to the DHHC palmitoyltransferase family	-
Mhon_029998	Neurotransmitter sodium symporter activity. It is involved in the biological process described with	-
Mhon_030001	Eukaryotic-type carbonic anhydrase	-
Mhon_030002	carbonic anhydrase	-
Mhon_030004	Ran GTPase binding	-
Mhon_030006	SMAD binding	-
Mhon_030007	PDZ domain	-
Mhon_030012	Acyl-CoA dehydrogenase, N-terminal domain	-
Mhon_030013	cerebellar Purkinje cell differentiation	-
Mhon_030016	negative regulation of Fas signaling pathway	-
Mhon_030017	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	SNF
Mhon_030018	purine-rich negative regulatory element binding	-
Mhon_030020	amino acid transporter	-
Mhon_030021	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	-
Mhon_030023	MAM domain-containing glycosylphosphatidylinositol anchor protein	SCRC1
Mhon_030027	nervous system development	tag-175
Mhon_030028	tRNA-4-demethylwyosine synthase activity	-
Mhon_030029	sperm flagellum movement	-
Mhon_030030	cell-cell adhesion involved in gastrulation	ric8a
Mhon_030033	protein tyrosine/serine/threonine phosphatase activity	-
Mhon_030036	Rho (Ras homology) subfamily of Ras-like small GTPases	RhoL
Mhon_030038	rRNA processing	-
Mhon_030039	maintenance of animal organ identity	-
Mhon_030040	meiotic DNA integrity checkpoint	-
Mhon_030041	Alternative oxidase	-
Mhon_030047	glyceryl-ether monooxygenase activity	-
Mhon_030050	Fibronectin type 3 domain	-
Mhon_030051	lipid catabolic process	-
Mhon_030061	Belongs to the sulfotransferase 1 family	-
Mhon_030062	sulfotransferase activity	-
Mhon_030063	positive regulation of ruffle assembly	-
Mhon_030064	Domain of unknown function (DUF4542)	-
Mhon_030106	Frag1/DRAM/Sfk1 family	-
Mhon_030111	positive regulation of cellular pH reduction	cah-5
Mhon_030114	Animal haem peroxidase	-
Mhon_030117	protein K27-linked ubiquitination	-
Mhon_030121	It is involved in the biological process described with protein phosphorylation	Cdk2
Mhon_030128	Angiotensin-converting enzyme	-
Mhon_030131	Protein of unknown function (DUF3641)	-
Mhon_030133	cysteine and glycine-rich protein	-
Mhon_030137	protein adenylyltransferase activity	-
Mhon_030138	RNA secondary structure unwinding	-
Mhon_030139	DNA replication initiation	MCM8
Mhon_030140	Ligand binding domain of hormone receptors	-
Mhon_030142	ENSP00000372125-like	-
Mhon_030144	cholinergic receptor, nicotinic, delta	-
Mhon_030148	Sertoli cell development	-
Mhon_030149	Sertoli cell development	-
Mhon_030150	Sertoli cell development	-
Mhon_030151	SH2 domain-mediated complex assembly	Crk
Mhon_030153	homophilic cell adhesion via plasma membrane adhesion molecules	-
Mhon_030163	Serine/Threonine protein kinases, catalytic domain	-
Mhon_030164	Belongs to the peptidase C2 family	clp-1
Mhon_030165	negative regulation of hemostasis	-
Mhon_030167	WD repeat-containing protein 60	-
Mhon_030173	cell motility in response to calcium ion	spag16
Mhon_030175	phosphatidylinositol-3,5-bisphosphate binding	-
Mhon_030178	Guanine nucleotide-binding protein G(s) subunit alpha	gsa-1
Mhon_030179	It is involved in the biological process described with	gsa-1
